n,sigma3_n,e4_coeff_n
0,,1
1,1,240
2,9,2160
3,28,6720
4,73,17520
5,126,30240
6,252,60480
7,344,82560
8,585,140400
9,757,181680
10,1134,272160
11,1332,319680
12,2044,490560
13,2198,527520
14,3096,743040
15,3528,846720
16,4681,1123440
17,4914,1179360
18,6813,1635120
19,6860,1646400
20,9198,2207520
21,9632,2311680
22,11988,2877120
23,12168,2920320
24,16380,3931200
25,15751,3780240
26,19782,4747680
27,20440,4905600
28,25112,6026880
29,24390,5853600
30,31752,7620480
31,29792,7150080
32,37449,8987760
33,37296,8951040
34,44226,10614240
35,43344,10402560
36,55261,13262640
37,50654,12156960
38,61740,14817600
39,61544,14770560
40,73710,17690400
41,68922,16541280
42,86688,20805120
43,79508,19081920
44,97236,23336640
45,95382,22891680
46,109512,26282880
47,103824,24917760
48,131068,31456320
49,117993,28318320
50,141759,34022160
51,137592,33022080
52,160454,38508960
53,148878,35730720
54,183960,44150400
55,167832,40279680
56,201240,48297600
57,192080,46099200
58,219510,52682400
59,205380,49291200
60,257544,61810560
61,226982,54475680
62,268128,64350720
63,260408,62497920
64,299593,71902320
65,276948,66467520
66,335664,80559360
67,300764,72183360
68,358722,86093280
69,340704,81768960
70,390096,93623040
71,357912,85898880
72,442845,106282800
73,389018,93364320
74,455886,109412640
75,441028,105846720
76,500780,120187200
77,458208,109969920
78,553896,132935040
79,493040,118329600
80,589806,141553440
81,551881,132451440
82,620298,148871520
83,571788,137229120
84,703136,168752640
85,619164,148599360
86,715572,171737280
87,682920,163900800
88,779220,187012800
89,704970,169192800
90,858438,206025120
91,756112,181466880
92,888264,213183360
93,834176,200202240
94,934416,224259840
95,864360,207446400
96,1048572,251657280
97,912674,219041760
98,1061937,254864880
99,1008324,241997760
100,1149823,275957520
101,1030302,247272480
102,1238328,297198720
103,1092728,262254720
104,1285830,308599200
105,1213632,291271680
106,1339902,321576480
107,1225044,294010560
108,1492120,358108800
109,1295030,310807200
110,1510488,362517120
111,1418312,340394880
112,1610264,386463360
113,1442898,346295520
114,1728720,414892800
115,1533168,367960320
116,1780470,427312800
117,1663886,399332640
118,1848420,443620800
119,1690416,405699840
120,2063880,495331200
121,1772893,425494320
122,2042838,490281120
123,1929816,463155840
124,2174816,521955840
125,1968876,472530240
126,2343672,562481280
127,2048384,491612160
128,2396745,575218800
129,2226224,534293760
130,2492532,598207680
131,2248092,539542080
132,2722608,653425920
133,2359840,566361600
134,2706876,649650240
135,2575440,618105600
136,2874690,689925600
137,2571354,617124960
138,3066336,735920640
139,2685620,644548800
140,3164112,759386880
141,2907072,697697280
142,3221208,773089920
143,2927736,702656640
144,3543517,850444080
145,3073140,737553600
146,3501162,840278880
147,3303804,792912960
148,3697742,887458080
149,3307950,793908000
150,3969252,952620480
151,3442952,826308480
152,4013100,963144000
153,3719898,892775520
154,4123872,989729280
155,3753792,900910080
156,4492712,1078250880
157,3869894,928774560
158,4437360,1064966400
159,4168584,1000460160
160,4718574,1132457760
161,4185792,1004590080
162,4966929,1192062960
163,4330748,1039379520
164,5031306,1207513440
165,4699296,1127831040
166,5146092,1235062080
167,4657464,1117791360
168,5634720,1352332800
169,4829007,1158961680
170,5572476,1337394240
171,5193020,1246324800
172,5804084,1392980160
173,5177718,1242652320
174,6146280,1475107200
175,5418344,1300402560
176,6235092,1496422080
177,5750640,1380153600
178,6344730,1522735200
179,5735340,1376481600
180,6962886,1671092640
181,5929742,1423138080
182,6805008,1633201920
183,6355496,1525319040
184,7118280,1708387200
185,6382404,1531776960
186,7507584,1801820160
187,6545448,1570907520
188,7579152,1818996480
189,7031360,1687526400
190,7779240,1867017600
191,6967872,1672289280
192,8388604,2013264960
193,7189058,1725373920
194,8214066,1971375840
195,7754544,1861090560
196,8613489,2067237360
197,7645374,1834889760
198,9074916,2177979840
199,7880600,1891344000
200,9214335,2211440400
201,8421392,2021134080
202,9272718,2225452320
203,8390160,2013638400
204,10044216,2410611840
205,8684172,2084201280
206,9834552,2360292480
207,9211176,2210682240
208,10288838,2469321120
209,9137520,2193004800
210,10922688,2621445120
211,9393932,2254543680
212,10868094,2608342560
213,10021536,2405168640
214,11025396,2646095040
215,10018008,2404321920
216,11957400,2869776000
217,10248448,2459627520
218,11655270,2797264800
219,10892504,2614200960
220,12251736,2940416640
221,10800972,2592233280
222,12764808,3063553920
223,11089568,2661496320
224,12882456,3091789440
225,11923507,2861641680
226,12986082,3116659680
227,11697084,2807300160
228,14021840,3365241600
229,12008990,2882157600
230,13798512,3311642880
231,12829824,3079157760
232,14268150,3424356000
233,12649338,3035841120
234,14974974,3593993760
235,13081824,3139637760
236,14992740,3598257600
237,13805120,3313228800
238,15213744,3651298560
239,13651920,3276460800
240,16514568,3963496320
241,13997522,3359405280
242,15956037,3829448880
243,14900788,3576189120
244,16569686,3976724640
245,14867118,3568108320
246,17368344,4168402560
247,15078280,3618787200
248,17428320,4182796800
249,16010064,3842415360
250,17719884,4252772160
251,15813252,3795180480
252,19009784,4562348160
253,16207776,3889866240
254,18435456,4424509440
255,17336592,4160782080
256,19173961,4601750640
257,16974594,4073902560
258,20036016,4808643840
259,17424976,4181994240
260,20217204,4852128960
261,18463230,4431175200
262,20232828,4855878720
263,18191448,4365947520
264,21818160,5236358400
265,18758628,4502070720
266,21238560,5097254400
267,19739160,4737398400
268,21955772,5269385280
269,19465110,4671626400
270,23178960,5562950400
